event_type,block_number,block_timestamp_utc,tx_hash,log_index,reserve_or_debt_asset,collateral_asset,user,on_behalf_of_or_repayer,liquidator,amount_crv,collateral_amount_usdc,borrow_rate_mode,receive_a_token
LiquidationCall,16027169,2022-11-22T17:55:59Z,0xfc9b354d614d049cb0b92d60e7d666bd6ebd69044ff5dda092a0903b8dbd0484,252,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x0fe269d6d9e04ecc659b6e3d582a7f35ce419e0f,100,75.555163,,false
LiquidationCall,16027171,2022-11-22T17:56:23Z,0xea0b1038ed9b15a9914848c627c4d66146956b705dcc082d73224eb729ecd799,18,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,74456.575468971328453852,56255.787678,,false
LiquidationCall,16027173,2022-11-22T17:56:47Z,0x49f7c080272cecf7b0f4907f1a1e74a03f65fa7b332a5b5a832186a2275f98da,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,191952.696598861006268689,145030.174651,,false
LiquidationCall,16027174,2022-11-22T17:56:59Z,0x85d20985a8ddc8d30d3309eed0d4fd8bcbdeed6943b07cc7265f0c5cd96958ef,26,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,9052.874997470277419876,6839.914547,,false
LiquidationCall,16027174,2022-11-22T17:56:59Z,0x5b57a4e5b867565d8695cdcc9cbbfc1f696fee2b83a1f9fe564a67bd5c785240,296,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x95ecfcc073f1d768be35839dd27724a0aed78e60,500000,377775.819828,,false
LiquidationCall,16027174,2022-11-22T17:56:59Z,0xa24c5fb4e6cdb4f41e5188a3a226876550d2d7b2781c1aa11b1b9992d69d20e9,325,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xc37704a457b1ee87eb657cae584a34961e86acac,500000,377775.819828,,false
LiquidationCall,16027175,2022-11-22T17:57:11Z,0x83f543b80557e560078769e94e4a17b320c1c37c6ca1f2d11ea62907537a317e,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,196874.19575560954984088,148748.621409,,false
LiquidationCall,16027176,2022-11-22T17:57:23Z,0x344eac4f51bde80732f76d5d39810a27121feb315143d64fc414863ef9977a07,22,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,55663.74477529668429139,42056.833634,,false
LiquidationCall,16027176,2022-11-22T17:57:23Z,0xfeb1fecb9050539a407b478c1446362dadbbf4e87f46caebfe6ae94f82e0fdee,40,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,51460.906865037887866738,38881.37256,,false
LiquidationCall,16027177,2022-11-22T17:57:35Z,0xc78ab4ad78924c5f1f40a11867a639954471e9fc8ce07e77158930a3b03c1656,105,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,285014.166625978294752628,215342.920919,,false
LiquidationCall,16027179,2022-11-22T17:57:59Z,0xce84138001d4c71581239b92001dc4e9e4ae456dd6ea67bd05cac0400becd82f,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,101613.799849264982527613,76774.473087,,false
LiquidationCall,16027180,2022-11-22T17:58:11Z,0x91c73813fdf1c634ebc2e981ecee9bf4967a5cc09e2fc68b2a0f9a40e6e5c010,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,186439.921821942373109142,140864.98863,,false
LiquidationCall,16027181,2022-11-22T17:58:23Z,0xe680877e622d30e4b52a277be4fdd046059b1d591a181aab2d857a6b04b89419,15,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,60273.408451531485228105,45539.672583,,false
LiquidationCall,16027182,2022-11-22T17:58:35Z,0x06a20e7630034f79ee8ae17ea0b3e5ac8308c760c8479ca9fc241e8b729a71b6,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,224674.072750180539175029,169752.864054,,false
LiquidationCall,16027183,2022-11-22T17:58:47Z,0x9cca400e2655563c79916091a5aa79d187cabc8124fc980e2110aff7d3d765dc,300,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xc37704a457b1ee87eb657cae584a34961e86acac,500000,377775.819828,,false
LiquidationCall,16027184,2022-11-22T17:58:59Z,0xa285bbe36051a401f9f4710678e0ff498e57df0ce841c66573224f780d546cfb,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,221206.683945735658092854,167133.072758,,false
LiquidationCall,16027184,2022-11-22T17:58:59Z,0xa5afae294c57575498ed2b5272c4df6e4b0fcb998201cdd53f025cba66a9bd2b,49,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x1df8ea15bb725e110118f031e8e71b91abaa2a06,95766.679961856114564336,72356.672069,,false
